NAME,FOUNDED,ACCREDITED,PUB/PRIV,ACADEMIC YEAR,RESIDENT TUITION,RESIDENT TUITION (2014$),NONRESIDENT TUITION,NONRESIDENT TUITION (2014$),PERCENT PAYING FULL TUITION
THE UNIVERSITY OF MISSISSIPPI SCHOOL OF LAW,1854,1930,PUBLIC,2014-2015,"$14,688","$14,688","$31,688","$31,688",N/A
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,1996-1997,"$8,270","$12,482","$16,060","$24,240",N/A
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,1997-1998,"$8,555","$12,617","$16,588","$24,465",N/A
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,1998-1999,"$8,842","$12,841","$17,116","$24,858",N/A
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,1999-2000,"$9,126","$12,970","$17,664","$25,104",N/A
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2000-2001,"$9,420","$12,950","$18,229","$25,061",N/A
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2001-2002,"$9,738","$13,020","$18,846","$25,197",65.2%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2002-2003,"$11,264","$14,825","$21,845","$28,751",56.5%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2003-2004,"$12,306","$15,837","$23,590","$30,358",56.1%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2004-2005,"$12,117","$15,187","$23,073","$28,918",46.4%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2005-2006,"$13,614","$16,503","$25,986","$31,501",59.8%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2006-2007,"$14,752","$17,324","$28,175","$33,087",59.4%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2007-2008,"$14,854","$16,960","$28,336","$32,353",48.3%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2008-2009,"$15,984","$17,575","$30,486","$33,521",42.4%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2009-2010,"$16,017","$17,674","$30,519","$33,677",47.4%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2010-2011,"$16,759","$18,195","$31,986","$34,726",43.4%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2011-2012,"$17,784","$18,717","$34,000","$35,783",42.6%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2012-2013,"$18,649","$19,229","$35,677","$36,787",40.0%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2013-2014,"$19,538","$19,855","$36,907","$37,506",40.4%
UNIVERSITY OF MISSOURI SCHOOL OF LAW,1872,1923,PUBLIC,2014-2015,"$19,832","$19,832","$37,462","$37,462",N/A
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,1996-1997,"$8,272","$12,485","$16,061","$24,241",N/A
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,1997-1998,"$8,546","$12,604","$16,580","$24,453",N/A
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,1998-1999,"$8,842","$12,841","$17,098","$24,831",N/A
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,1999-2000,"$9,108","$12,944","$17,645","$25,077",N/A
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2000-2001,"$9,446","$12,986","$18,256","$25,098",N/A
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2001-2002,"$9,765","$13,056","$18,873","$25,233",55.1%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2002-2003,"$10,560","$13,898","$20,436","$26,896",56.6%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2003-2004,"$11,486","$14,781","$22,003","$28,316",65.1%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2004-2005,"$13,342","$16,722","$25,456","$31,905",68.2%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2005-2006,"$12,803","$15,520","$24,504","$29,704",63.5%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2006-2007,"$13,183","$15,481","$25,234","$29,633",61.9%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2007-2008,"$13,681","$15,620","$26,188","$29,901",63.2%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2008-2009,"$14,242","$15,660","$27,262","$29,976",60.3%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2009-2010,"$14,242","$15,716","$27,262","$30,083",69.3%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2010-2011,"$15,550","$16,882","$29,500","$32,027",59.7%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2011-2012,"$16,730","$17,607","$31,772","$33,438",53.2%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2012-2013,"$17,058","$17,589","$32,853","$33,875",51.2%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2013-2014,"$17,886","$18,176","$33,996","$34,547",44.3%
UNIVERSITY OF MISSOURI-KANSAS CITY SCHOOL OF LAW,1895,1936,PUBLIC,2014-2015,"$18,320","$18,320","$34,832","$34,832",N/A
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,1996-1997,"$5,755","$8,686","$10,412","$15,715",N/A
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,1997-1998,"$6,262","$9,235","$11,264","$16,613",N/A
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,1998-1999,"$6,742","$9,791","$12,113","$17,592",N/A
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,1999-2000,"$6,695","$9,515","$12,298","$17,478",N/A
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2000-2001,"$6,842","$9,406","$12,624","$17,355",N/A
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2001-2002,"$7,347","$9,823","$13,880","$18,557",57.8%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2002-2003,"$7,776","$10,234","$15,156","$19,947",61.1%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2003-2004,"$8,391","$10,798","$16,415","$21,125",55.6%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2004-2005,"$8,710","$10,917","$17,415","$21,827",58.5%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2005-2006,"$9,093","$11,023","$18,597","$22,544",49.4%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2006-2007,"$9,978","$11,717","$20,354","$23,902",54.1%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2007-2008,"$10,273","$11,729","$21,611","$24,675",55.9%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2008-2009,"$10,312","$11,339","$22,733","$24,996",60.0%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2009-2010,"$10,620","$11,719","$24,333","$26,851",60.1%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2010-2011,"$11,062","$12,010","$26,186","$28,429",67.2%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2011-2012,"$11,578","$12,185","$27,513","$28,956",59.9%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2012-2013,"$11,104","$11,449","$27,772","$28,636",52.2%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2013-2014,"$11,282","$11,465","$28,602","$29,066",56.6%
UNIVERSITY OF MONTANA SCHOOL OF LAW,1911,1923,PUBLIC,2014-2015,"$11,335","$11,335","$29,328","$29,328",N/A
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,1996-1997,"$3,510","$5,298","$9,009","$13,597",N/A
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,1997-1998,"$4,736","$6,985","$10,478","$15,453",N/A
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,1998-1999,"$5,050","$7,334","$11,116","$16,144",N/A
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,1999-2000,"$4,488","$6,378","$9,465","$13,452",N/A
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2000-2001,"$4,993","$6,864","$10,243","$14,082",N/A
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2001-2002,"$6,415","$8,577","$14,389","$19,238",53.8%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2002-2003,"$5,760","$7,581","$13,075","$17,208",49.4%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2003-2004,"$7,245","$9,324","$16,260","$20,925",63.1%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2004-2005,"$8,998","$11,278","$20,612","$25,834",54.8%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2005-2006,"$8,783","$10,647","$20,449","$24,789",55.5%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2006-2007,"$9,213","$10,819","$21,580","$25,342",58.6%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2007-2008,"$9,018","$10,296","$20,935","$23,903",59.7%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2008-2009,"$11,208","$12,324","$25,101","$27,600",60.4%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2009-2010,"$12,154","$13,412","$26,600","$29,352",56.1%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2010-2011,"$13,337","$14,480","$28,649","$31,103",51.2%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2011-2012,"$13,887","$14,615","$29,966","$31,538",60.7%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2012-2013,"$14,363","$14,810","$31,044","$32,010",49.6%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2013-2014,"$14,441","$14,675","$31,955","$32,473",37.6%
UNIVERSITY OF NEBRASKA COLLEGE OF LAW,1888,1923,PUBLIC,2014-2015,"$14,479","$14,479","$32,852","$32,852",N/A
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,1996-1997,N/A,N/A,N/A,N/A,N/A
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,1997-1998,N/A,N/A,N/A,N/A,N/A
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,1998-1999,N/A,N/A,N/A,N/A,N/A
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,1999-2000,N/A,N/A,N/A,N/A,N/A
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2000-2001,"$7,274","$10,000","$14,274","$19,624",N/A
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2001-2002,"$7,151","$9,561","$14,151","$18,920",45.2%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2002-2003,"$7,294","$9,600","$14,294","$18,813",51.9%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2003-2004,"$7,553","$9,720","$14,798","$19,044",50.7%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2004-2005,"$7,833","$9,817","$15,078","$18,898",51.6%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2005-2006,"$9,552","$11,579","$18,452","$22,368",43.8%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2006-2007,"$9,568","$11,236","$18,468","$21,688",50.6%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2007-2008,"$10,502","$11,991","$20,302","$23,180",49.9%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2008-2009,"$11,032","$12,130","$21,332","$23,456",62.8%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2009-2010,"$18,838","$20,787","$30,838","$34,029",60.7%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2010-2011,"$20,838","$22,623","$34,238","$37,171",55.6%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2011-2012,"$24,752","$26,050","$35,752","$37,627",56.8%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2012-2013,"$24,749","$25,519","$35,749","$36,861",44.4%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2013-2014,"$26,437","$26,866","$37,437","$38,044",29.6%
"UNIVERSITY OF NEVADA, LAS VEGAS, WILLIAM S. BOYD SCHOOL OF LAW",1997,2000,PUBLIC,2014-2015,"$24,749","$24,749","$35,749","$35,749",N/A
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,1996-1997,"$14,955",N/A,N/A,N/A,N/A
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,1997-1998,"$15,832",N/A,N/A,N/A,N/A
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,1998-1999,"$16,475",N/A,N/A,N/A,N/A
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,1999-2000,"$17,100",N/A,N/A,N/A,N/A
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2000-2001,"$18,525",N/A,N/A,N/A,N/A
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2001-2002,"$19,987",N/A,N/A,N/A,40.2%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2002-2003,"$21,475",N/A,N/A,N/A,36.7%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2003-2004,"$23,275",N/A,N/A,N/A,41.7%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2004-2005,"$25,274",N/A,N/A,N/A,37.4%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2005-2006,"$27,300",N/A,N/A,N/A,31.1%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2006-2007,"$29,050",N/A,N/A,N/A,38.8%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2007-2008,"$30,780",N/A,N/A,N/A,44.8%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2008-2009,"$33,280",N/A,N/A,N/A,42.5%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2009-2010,"$36,980",N/A,N/A,N/A,43.6%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2010-2011,"$37,000",N/A,N/A,N/A,33.7%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2011-2012,"$39,990",N/A,N/A,N/A,16.8%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2012-2013,"$41,190",N/A,N/A,N/A,21.1%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2013-2014,"$41,190",N/A,N/A,N/A,8.1%
UNIVERSITY OF NEW HAMPSHIRE SCHOOL OF LAW [F/K/A FRANKLIN PIERCE LAW CENTER],1973,1974,PUBLIC,2014-2015,"$37,378","$37,378","$41,378","$41,378",N/A
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,1996-1997,"$8,550","$12,905","$12,544","$18,933",N/A
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,1997-1998,"$9,046","$13,341","$13,272","$19,574",N/A
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,1998-1999,"$9,682","$14,061","$14,206","$20,631",N/A
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,1999-2000,"$11,302","$16,062","$16,024","$22,773",N/A
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2000-2001,"$11,835","$16,270","$16,793","$23,087",N/A
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2001-2002,"$12,668","$16,937","$17,874","$23,897",62.1%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2002-2003,"$13,889","$18,280","$19,611","$25,810",71.4%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2003-2004,"$15,499","$19,946","$21,729","$27,963",58.1%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2004-2005,"$16,724","$20,961","$23,755","$29,773",60.4%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2005-2006,"$18,016","$21,839","$25,609","$31,044",51.3%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2006-2007,"$19,867","$23,330","$28,220","$33,140",61.0%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2007-2008,"$21,488","$24,534","$30,492","$34,815",66.7%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2008-2009,"$23,122","$25,424","$33,316","$36,633",65.9%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2009-2010,"$23,860","$26,329","$34,360","$37,915",68.2%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2010-2011,"$22,382","$24,299","$33,173","$36,015",64.2%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2011-2012,"$24,094","$25,358","$35,358","$37,212",50.2%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2012-2013,"$25,479","$26,272","$37,211","$38,369",62.1%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2013-2014,"$25,505","$25,919","$32,237","$32,760",43.3%
RUTGERS SCHOOL OF LAW—CAMDEN,1926,1950,PUBLIC,2014-2015,"$26,101","$26,101","$38,068","$38,068",N/A
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,1996-1997,"$8,550","$12,905","$12,544","$18,933",N/A
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,1997-1998,"$9,046","$13,341","$13,272","$19,574",N/A
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,1998-1999,"$9,682","$14,061","$14,206","$20,631",N/A
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,1999-2000,"$11,226","$15,954","$15,948","$22,665",N/A
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2000-2001,"$11,129","$15,300","$16,087","$22,116",N/A
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2001-2002,"$12,574","$16,811","$17,780","$23,772",70.1%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2002-2003,"$13,775","$18,129","$19,497","$25,660",65.3%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2003-2004,"$15,228","$19,597","$21,458","$27,614",60.8%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2004-2005,"$16,525","$20,712","$13,169","$16,505",54.5%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2005-2006,"$17,789","$21,564","$25,382","$30,768",54.8%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2006-2007,"$19,623","$23,044","$27,976","$32,853",54.5%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2007-2008,"$21,302","$24,322","$30,307","$34,603",58.1%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2008-2009,"$23,007","$25,297","$32,777","$36,040",57.9%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2009-2010,"$23,676","$26,126","$33,740","$37,231",59.5%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2010-2011,"$24,977","$27,117","$35,897","$38,972",58.5%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2011-2012,"$25,385","$26,716","$37,117","$39,064",59.8%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2012-2013,"$25,424","$26,215","$37,156","$38,312",61.3%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2013-2014,"$25,457","$25,870","$37,189","$37,792",54.7%
"RUTGERS SCHOOL OF LAW—NEWARK, S.I. NEWHOUSE CENTER FOR LAW AND JUSTICE",1908,1941,PUBLIC,2014-2015,"$26,062","$26,062","$38,029","$38,029",N/A
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,1996-1997,"$3,284","$4,957","$11,015","$16,625",N/A
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,1997-1998,"$3,612","$5,327","$12,116","$17,869",N/A
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,1998-1999,"$3,984","$5,786","$13,338","$19,371",N/A
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,1999-2000,"$4,382","$6,228","$14,672","$20,852",N/A
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2000-2001,"$5,040","$6,929","$16,872","$23,195",N/A
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2001-2002,"$5,544","$7,412","$18,559","$24,813",80.0%
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2002-2003,"$6,098","$8,026","$18,559","$24,426",78.1%
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2003-2004,"$6,708","$8,633","$19,360","$24,914",78.5%
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2004-2005,"$7,567","$9,484","$19,901","$24,943",79.2%
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2005-2006,"$8,816","$10,687","$21,394","$25,934",75.1%
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2006-2007,"$9,566","$11,234","$23,213","$27,260",75.5%
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2007-2008,"$10,561","$12,058","$24,467","$27,936",74.1%
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2008-2009,"$11,593","$12,747","$25,693","$28,251",76.3%
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2009-2010,"$12,620","$13,926","$28,235","$31,157",70.9%
UNIVERSITY OF NEW MEXICO SCHOOL OF LAW,1947,1948,PUBLIC,2010-2011,"$13,660","$14,830","$30,604","$33,226",68.9%
